jurisdiction,weekendingdate,totalconfflunewadm,totalconfflunewadmper100k
TX,2022-10-08T00:00:00Z,213,0.7
TX,2022-10-15T00:00:00Z,305,1
TX,2022-10-22T00:00:00Z,460,1.51
TX,2022-10-29T00:00:00Z,699,2.3
TX,2022-11-05T00:00:00Z,953,3.14
TX,2022-11-12T00:00:00Z,1106,3.64
TX,2022-11-19T00:00:00Z,1168,3.84
TX,2022-11-26T00:00:00Z,1796,5.91
TX,2022-12-03T00:00:00Z,2179,7.17
TX,2022-12-10T00:00:00Z,1775,5.84
TX,2022-12-17T00:00:00Z,1533,5.04
TX,2022-12-24T00:00:00Z,1301,4.28
TX,2022-12-31T00:00:00Z,1410,4.64
TX,2023-01-07T00:00:00Z,1246,4.1
TX,2023-01-14T00:00:00Z,763,2.51
TX,2023-01-21T00:00:00Z,490,1.61
TX,2023-01-28T00:00:00Z,347,1.14
TX,2023-02-04T00:00:00Z,281,0.92
TX,2023-02-11T00:00:00Z,270,0.89
TX,2023-02-18T00:00:00Z,241,0.79
TX,2023-02-25T00:00:00Z,208,0.68
TX,2023-03-04T00:00:00Z,171,0.56
TX,2023-03-11T00:00:00Z,157,0.52
TX,2023-03-18T00:00:00Z,159,0.52
TX,2023-03-25T00:00:00Z,131,0.43
TX,2023-04-01T00:00:00Z,156,0.51
TX,2023-04-08T00:00:00Z,128,0.42
TX,2023-04-15T00:00:00Z,126,0.41
TX,2023-04-22T00:00:00Z,100,0.33
TX,2023-04-29T00:00:00Z,110,0.36
TX,2023-05-06T00:00:00Z,197,0.65
TX,2023-05-13T00:00:00Z,98,0.32
TX,2023-05-20T00:00:00Z,97,0.32
TX,2023-05-27T00:00:00Z,106,0.35
TX,2023-06-03T00:00:00Z,83,0.27
TX,2023-06-10T00:00:00Z,75,0.25
TX,2023-06-17T00:00:00Z,100,0.33
TX,2023-06-24T00:00:00Z,109,0.36
TX,2023-07-01T00:00:00Z,87,0.29
TX,2023-07-08T00:00:00Z,79,0.26
TX,2023-07-15T00:00:00Z,96,0.32
TX,2023-07-22T00:00:00Z,86,0.28
TX,2023-07-29T00:00:00Z,90,0.3
TX,2023-08-05T00:00:00Z,109,0.36
TX,2023-08-12T00:00:00Z,118,0.39
TX,2023-08-19T00:00:00Z,122,0.4
TX,2023-08-26T00:00:00Z,110,0.36
TX,2023-09-02T00:00:00Z,126,0.41
TX,2023-09-09T00:00:00Z,109,0.36
TX,2023-09-16T00:00:00Z,128,0.42
TX,2023-09-23T00:00:00Z,102,0.34
TX,2023-09-30T00:00:00Z,118,0.39
TX,2025-10-04T00:00:00Z,101,0.33
TX,2025-10-11T00:00:00Z,131,0.43
TX,2025-10-18T00:00:00Z,135,0.44
TX,2025-10-25T00:00:00Z,139,0.46
TX,2025-11-01T00:00:00Z,169,0.56
TX,2025-11-08T00:00:00Z,232,0.76
TX,2025-11-15T00:00:00Z,295,0.97
TX,2025-11-22T00:00:00Z,442,1.45
TX,2025-11-29T00:00:00Z,591,1.94
TX,2025-12-06T00:00:00Z,694,2.28
TX,2025-12-13T00:00:00Z,960,3.16
TX,2025-12-20T00:00:00Z,1685,5.54
TX,2025-12-27T00:00:00Z,2847,9.37
TX,2026-01-03T00:00:00Z,2372,7.8
TX,2026-01-10T00:00:00Z,1845,6.07
TX,2026-01-17T00:00:00Z,1214,3.99
TX,2026-01-24T00:00:00Z,1388,4.57
TX,2026-01-31T00:00:00Z,1326,4.36
TX,2026-02-07T00:00:00Z,1395,4.59
TX,2026-02-14T00:00:00Z,1352,4.45
TX,2026-02-21T00:00:00Z,1041,3.43
TX,2026-02-28T00:00:00Z,784,2.58
TX,2026-03-07T00:00:00Z,729,2.4
TX,2026-03-14T00:00:00Z,444,1.46
TX,2026-03-21T00:00:00Z,416,1.37
TX,2026-03-28T00:00:00Z,285,0.94
TX,2026-04-04T00:00:00Z,187,0.62
TX,2026-04-11T00:00:00Z,144,0.47
TX,2026-04-18T00:00:00Z,129,0.42
TX,2026-04-25T00:00:00Z,129,0.42
TX,2026-05-02T00:00:00Z,129,0.42
TX,2026-05-09T00:00:00Z,136,0.45
TX,2026-05-16T00:00:00Z,123,0.4
TX,2026-05-23T00:00:00Z,106,0.35
TX,2026-05-30T00:00:00Z,105,0.35
TX,2026-06-06T00:00:00Z,103,0.34
TX,2026-06-13T00:00:00Z,84,0.28
TX,2026-06-20T00:00:00Z,84,0.28
TX,2026-06-27T00:00:00Z,73,0.24
TX,2024-10-05T00:00:00Z,1,0
TX,2024-10-12T00:00:00Z,79,0.26
TX,2024-10-19T00:00:00Z,46,0.15
TX,2024-10-26T00:00:00Z,63,0.21
TX,2024-11-02T00:00:00Z,103,0.34
TX,2024-11-09T00:00:00Z,185,0.61
TX,2024-11-16T00:00:00Z,227,0.75
TX,2024-11-23T00:00:00Z,276,0.91
TX,2024-11-30T00:00:00Z,405,1.33
TX,2024-12-07T00:00:00Z,530,1.74
TX,2024-12-14T00:00:00Z,705,2.32
TX,2024-12-21T00:00:00Z,1181,3.89
TX,2024-12-28T00:00:00Z,2086,6.86
TX,2025-01-04T00:00:00Z,2527,8.31
TX,2025-01-11T00:00:00Z,2054,6.76
TX,2025-01-18T00:00:00Z,2445,8.05
TX,2025-01-25T00:00:00Z,3319,10.92
TX,2025-02-01T00:00:00Z,4729,15.56
TX,2025-02-08T00:00:00Z,4261,14.02
TX,2025-02-15T00:00:00Z,2511,8.26
TX,2025-02-22T00:00:00Z,1774,5.84
TX,2025-03-01T00:00:00Z,1553,5.11
TX,2025-03-08T00:00:00Z,1209,3.98
TX,2025-03-15T00:00:00Z,909,2.99
TX,2025-03-22T00:00:00Z,611,2.01
TX,2025-03-29T00:00:00Z,539,1.77
TX,2025-04-05T00:00:00Z,371,1.22
TX,2025-04-12T00:00:00Z,284,0.93
TX,2025-04-19T00:00:00Z,271,0.89
TX,2025-04-26T00:00:00Z,230,0.76
TX,2025-05-03T00:00:00Z,193,0.64
TX,2025-05-10T00:00:00Z,176,0.58
TX,2025-05-17T00:00:00Z,203,0.67
TX,2025-05-24T00:00:00Z,143,0.47
TX,2025-05-31T00:00:00Z,165,0.54
TX,2025-06-07T00:00:00Z,147,0.48
TX,2025-06-14T00:00:00Z,135,0.44
TX,2025-06-21T00:00:00Z,121,0.4
TX,2025-06-28T00:00:00Z,105,0.35
TX,2025-07-05T00:00:00Z,80,0.26
TX,2025-07-12T00:00:00Z,89,0.29
TX,2025-07-19T00:00:00Z,82,0.27
TX,2025-07-26T00:00:00Z,90,0.3
TX,2025-08-02T00:00:00Z,85,0.28
TX,2025-08-09T00:00:00Z,80,0.26
TX,2025-08-16T00:00:00Z,91,0.3
TX,2025-08-23T00:00:00Z,92,0.3
TX,2025-08-30T00:00:00Z,105,0.35
TX,2025-09-06T00:00:00Z,124,0.41
TX,2025-09-13T00:00:00Z,117,0.38
TX,2025-09-20T00:00:00Z,106,0.35
TX,2025-09-27T00:00:00Z,134,0.44
TX,2023-10-07T00:00:00Z,119,0.39
TX,2023-10-14T00:00:00Z,167,0.55
TX,2023-10-21T00:00:00Z,242,0.8
TX,2023-10-28T00:00:00Z,245,0.81
TX,2023-11-04T00:00:00Z,346,1.14
TX,2023-11-11T00:00:00Z,427,1.41
TX,2023-11-18T00:00:00Z,428,1.41
TX,2023-11-25T00:00:00Z,534,1.76
TX,2023-12-02T00:00:00Z,699,2.3
TX,2023-12-09T00:00:00Z,829,2.73
TX,2023-12-16T00:00:00Z,1155,3.8
TX,2023-12-23T00:00:00Z,1597,5.25
TX,2023-12-30T00:00:00Z,1975,6.5
TX,2024-01-06T00:00:00Z,2093,6.89
TX,2024-01-13T00:00:00Z,1964,6.46
TX,2024-01-20T00:00:00Z,1682,5.53
TX,2024-01-27T00:00:00Z,1868,6.15
TX,2024-02-03T00:00:00Z,1869,6.15
TX,2024-02-10T00:00:00Z,1500,4.94
TX,2024-02-17T00:00:00Z,1125,3.7
TX,2024-02-24T00:00:00Z,995,3.27
TX,2024-03-02T00:00:00Z,811,2.67
TX,2024-03-09T00:00:00Z,637,2.1
TX,2024-03-16T00:00:00Z,538,1.77
TX,2024-03-23T00:00:00Z,398,1.31
TX,2024-03-30T00:00:00Z,360,1.18
TX,2024-04-06T00:00:00Z,308,1.01
TX,2024-04-13T00:00:00Z,275,0.9
TX,2024-04-20T00:00:00Z,255,0.84
TX,2024-04-27T00:00:00Z,171,0.56
TX,2024-05-04T00:00:00Z,89,0.29
TX,2024-05-11T00:00:00Z,1,0
TX,2024-05-18T00:00:00Z,0,0
TX,2024-05-25T00:00:00Z,2,0.01
TX,2024-06-01T00:00:00Z,0,0
TX,2024-06-08T00:00:00Z,1,0
TX,2024-06-15T00:00:00Z,0,0
TX,2024-06-22T00:00:00Z,1,0
TX,2024-06-29T00:00:00Z,0,0
TX,2024-07-06T00:00:00Z,2,0.01
TX,2024-07-13T00:00:00Z,1,0
TX,2024-07-20T00:00:00Z,4,0.01
TX,2024-07-27T00:00:00Z,0,0
TX,2024-08-03T00:00:00Z,2,0.01
TX,2024-08-10T00:00:00Z,3,0.01
TX,2024-08-17T00:00:00Z,2,0.01
TX,2024-08-24T00:00:00Z,2,0.01
TX,2024-08-31T00:00:00Z,2,0.01
TX,2024-09-07T00:00:00Z,1,0
TX,2024-09-14T00:00:00Z,1,0
TX,2024-09-21T00:00:00Z,1,0
TX,2024-09-28T00:00:00Z,1,0
