date,location,location_name,value
2020-01-11,48,Texas,0
2020-01-18,48,Texas,0
2020-01-25,48,Texas,0
2020-02-01,48,Texas,0
2020-02-08,48,Texas,0
2020-02-15,48,Texas,0
2020-02-22,48,Texas,0
2020-02-29,48,Texas,0
2020-03-07,48,Texas,0
2020-03-14,48,Texas,0
2020-03-21,48,Texas,0
2020-03-28,48,Texas,0
2020-04-04,48,Texas,0
2020-04-11,48,Texas,0
2020-04-18,48,Texas,0
2020-04-25,48,Texas,0
2020-05-02,48,Texas,0
2020-05-09,48,Texas,0
2020-05-16,48,Texas,0
2020-05-23,48,Texas,0
2020-05-30,48,Texas,0
2020-06-06,48,Texas,0
2020-06-13,48,Texas,0
2020-06-20,48,Texas,0
2020-06-27,48,Texas,0
2020-07-04,48,Texas,0
2020-07-11,48,Texas,0
2020-07-18,48,Texas,0
2020-07-25,48,Texas,0
2020-08-01,48,Texas,0
2020-08-08,48,Texas,0
2020-08-15,48,Texas,0
2020-08-22,48,Texas,0
2020-08-29,48,Texas,0
2020-09-05,48,Texas,0
2020-09-12,48,Texas,0
2020-09-19,48,Texas,0
2020-09-26,48,Texas,0
2020-10-03,48,Texas,0
2020-10-10,48,Texas,0
2020-10-17,48,Texas,12
2020-10-24,48,Texas,50
2020-10-31,48,Texas,110
2020-11-07,48,Texas,120
2020-11-14,48,Texas,145
2020-11-21,48,Texas,152
2020-11-28,48,Texas,161
2020-12-05,48,Texas,196
2020-12-12,48,Texas,198
2020-12-19,48,Texas,226
2020-12-26,48,Texas,217
2021-01-02,48,Texas,180
2021-01-09,48,Texas,80
2021-01-16,48,Texas,102
2021-01-23,48,Texas,99
2021-01-30,48,Texas,109
2021-02-06,48,Texas,77
2021-02-13,48,Texas,76
2021-02-20,48,Texas,62
2021-02-27,48,Texas,80
2021-03-06,48,Texas,36
2021-03-13,48,Texas,79
2021-03-20,48,Texas,34
2021-03-27,48,Texas,33
2021-04-03,48,Texas,34
2021-04-10,48,Texas,32
2021-04-17,48,Texas,25
2021-04-24,48,Texas,34
2021-05-01,48,Texas,30
2021-05-08,48,Texas,26
2021-05-15,48,Texas,29
2021-05-22,48,Texas,29
2021-05-29,48,Texas,26
2021-06-05,48,Texas,32
2021-06-12,48,Texas,28
2021-06-19,48,Texas,30
2021-06-26,48,Texas,43
2021-07-03,48,Texas,58
2021-07-10,48,Texas,85
2021-07-17,48,Texas,97
2021-07-24,48,Texas,96
2021-07-31,48,Texas,54
2021-08-07,48,Texas,41
2021-08-14,48,Texas,29
2021-08-21,48,Texas,34
2021-08-28,48,Texas,27
2021-09-04,48,Texas,35
2021-09-11,48,Texas,33
2021-09-18,48,Texas,33
2021-09-25,48,Texas,35
2021-10-02,48,Texas,42
2021-10-09,48,Texas,44
2021-10-16,48,Texas,38
2021-10-23,48,Texas,34
2021-10-30,48,Texas,28
2021-11-06,48,Texas,45
2021-11-13,48,Texas,64
2021-11-20,48,Texas,50
2021-11-27,48,Texas,45
2021-12-04,48,Texas,55
2021-12-11,48,Texas,74
2021-12-18,48,Texas,90
2021-12-25,48,Texas,93
2022-01-01,48,Texas,107
2022-01-08,48,Texas,118
2022-01-15,48,Texas,83
2022-01-22,48,Texas,99
2022-01-29,48,Texas,92
2022-02-05,48,Texas,118
2022-02-12,48,Texas,173
2022-02-19,48,Texas,284
2022-02-26,48,Texas,347
2022-03-05,48,Texas,345
2022-03-12,48,Texas,453
2022-03-19,48,Texas,663
2022-03-26,48,Texas,630
2022-04-02,48,Texas,507
2022-04-09,48,Texas,357
2022-04-16,48,Texas,351
2022-04-23,48,Texas,337
2022-04-30,48,Texas,191
2022-05-07,48,Texas,165
2022-05-14,48,Texas,156
2022-05-21,48,Texas,149
2022-05-28,48,Texas,138
2022-06-04,48,Texas,125
2022-06-11,48,Texas,100
2022-06-18,48,Texas,140
2022-06-25,48,Texas,120
2022-07-02,48,Texas,94
2022-07-09,48,Texas,78
2022-07-16,48,Texas,114
2022-07-23,48,Texas,99
2022-07-30,48,Texas,87
2022-08-06,48,Texas,83
2022-08-13,48,Texas,92
2022-08-20,48,Texas,107
2022-08-27,48,Texas,111
2022-09-03,48,Texas,83
2022-09-10,48,Texas,121
2022-09-17,48,Texas,122
2022-09-24,48,Texas,128
2022-10-01,48,Texas,137
