date,location_name,ili,pred_hosp,true_hosp,population,total_hosp
2012-10-06,Texas,-0.4339484953117724,0.25,NA,29527941,74
2012-10-13,Texas,-0.39938880492924556,0.28,NA,29527941,83
2012-10-20,Texas,-0.38039572784768105,0.29,NA,29527941,86
2012-10-27,Texas,-0.27997800207864637,0.37,NA,29527941,109
2012-11-03,Texas,-0.11821301674586158,0.51,NA,29527941,151
2012-11-10,Texas,-0.005280842538942383,0.62,NA,29527941,183
2012-11-17,Texas,-0.22906264736248413,0.41,NA,29527941,121
2012-11-24,Texas,0.08636058897738427,0.71,NA,29527941,210
2012-12-01,Texas,0.044021030187695834,0.66,NA,29527941,195
2012-12-08,Texas,-0.09343020196299343,0.53,NA,29527941,156
2012-12-15,Texas,0.21462951594832316,0.84,NA,29527941,248
2012-12-22,Texas,0.6330738879240476,1.36,NA,29527941,402
2012-12-29,Texas,0.48085722249843393,1.16,NA,29527941,343
2013-01-05,Texas,0.36529978289567383,1.01,NA,29527941,298
2013-01-12,Texas,0.6990023506729082,1.45,NA,29527941,428
2013-01-19,Texas,0.8664636444477547,1.71,NA,29527941,505
2013-01-26,Texas,1.100607739321176,2.11,NA,29527941,623
2013-02-02,Texas,1.2402372875033798,2.38,NA,29527941,703
2013-02-09,Texas,1.45864470909757,2.85,NA,29527941,842
2013-02-16,Texas,1.5007239867889808,2.95,NA,29527941,871
2013-02-23,Texas,1.2326761077985662,2.37,NA,29527941,700
2013-03-02,Texas,0.8065187170623047,1.62,NA,29527941,478
2013-03-09,Texas,0.5780916455340912,1.28,NA,29527941,378
2013-03-16,Texas,0.2182334920713081,0.84,NA,29527941,248
2013-03-23,Texas,0.32420013899486333,0.96,NA,29527941,283
2013-03-30,Texas,-0.3465457817356915,0.32,NA,29527941,94
2013-04-06,Texas,-0.6767012777557734,0.08,NA,29527941,24
2013-04-13,Texas,-0.8361155741218285,0,NA,29527941,0
2013-04-20,Texas,-0.8613506564975117,0,NA,29527941,0
2013-04-27,Texas,-1.160644460210305,0,NA,29527941,0
2013-05-04,Texas,-0.9029111853516202,0,NA,29527941,0
2013-05-11,Texas,-0.6990023506729082,0.07,NA,29527941,21
2013-05-18,Texas,-1.1958846578286202,0,NA,29527941,0
2013-05-25,Texas,-1.660021574750552,0,NA,29527941,0
2013-06-01,Texas,-1.1267895716078145,0,NA,29527941,0
2013-06-08,Texas,-1.9922073274574958,0,NA,29527941,0
2013-06-15,Texas,-1.6327190932743467,0,NA,29527941,0
2013-06-22,Texas,-1.877911605899465,0,NA,29527941,0
2013-06-29,Texas,-1.1745656332343424,0,NA,29527941,0
