anchor_date,reference_date,expected_locations,expected_horizons,expected_instances,status
2024-10-05,2024-10-12,53,4,212,complete
2024-10-12,2024-10-19,53,4,212,complete
2024-10-19,2024-10-26,53,4,212,complete
2024-10-26,2024-11-02,53,4,212,complete
2024-11-02,2024-11-09,53,4,212,complete
2024-11-09,2024-11-16,53,4,212,complete
2024-11-16,2024-11-23,53,4,212,complete
2024-11-23,2024-11-30,53,4,212,complete
2024-11-30,2024-12-07,53,4,212,complete
2024-12-07,2024-12-14,53,4,212,complete
2024-12-14,2024-12-21,53,4,212,complete
2024-12-21,2024-12-28,53,4,212,complete
2024-12-28,2025-01-04,53,4,212,complete
2025-01-04,2025-01-11,53,4,212,complete
2025-01-11,2025-01-18,53,4,212,complete
2025-01-18,2025-01-25,53,4,212,complete
2025-01-25,2025-02-01,53,4,212,complete
2025-02-01,2025-02-08,53,4,212,complete
2025-02-08,2025-02-15,53,4,212,complete
2025-02-15,2025-02-22,53,4,212,complete
2025-02-22,2025-03-01,53,4,212,complete
2025-03-01,2025-03-08,53,4,212,complete
2025-03-08,2025-03-15,53,4,212,complete
2025-03-15,2025-03-22,53,4,212,complete
2025-03-22,2025-03-29,53,4,212,complete
2025-03-29,2025-04-05,53,4,212,complete
2025-04-05,2025-04-12,53,4,212,complete
2025-04-12,2025-04-19,53,4,212,complete
2025-04-19,2025-04-26,53,4,212,complete
2025-04-26,2025-05-03,53,4,212,complete
2025-05-03,2025-05-10,53,4,212,complete
2025-05-10,2025-05-17,53,4,212,complete
2025-05-17,2025-05-24,53,4,212,complete
2025-05-24,2025-05-31,53,4,212,complete
2025-05-31,2025-06-07,53,4,212,complete
2025-06-07,2025-06-14,53,4,212,complete
2025-06-14,2025-06-21,53,4,212,complete
2025-06-21,2025-06-28,53,4,212,complete
2025-06-28,2025-07-05,53,4,212,complete
2025-07-05,2025-07-12,53,4,212,complete
2025-07-12,2025-07-19,53,4,212,complete
2025-07-19,2025-07-26,53,4,212,complete
2025-07-26,2025-08-02,53,4,212,complete
2025-08-02,2025-08-09,53,4,212,complete
2025-08-09,2025-08-16,53,4,212,complete
2025-08-16,2025-08-23,53,4,212,complete
2025-08-23,2025-08-30,53,4,212,complete
2025-08-30,2025-09-06,53,4,212,complete
2025-09-06,2025-09-13,53,4,212,complete
2025-09-13,2025-09-20,53,4,212,complete
2025-09-20,2025-09-27,53,4,212,complete
2025-09-27,2025-10-04,53,4,212,complete
2025-10-04,2025-10-11,53,4,212,complete
2025-10-11,2025-10-18,53,4,212,complete
2025-10-18,2025-10-25,53,4,212,complete
2025-10-25,2025-11-01,53,4,212,complete
2025-11-01,2025-11-08,53,4,212,complete
2025-11-08,2025-11-15,53,4,212,complete
2025-11-15,2025-11-22,53,4,212,complete
2025-11-22,2025-11-29,53,4,212,complete
2025-11-29,2025-12-06,53,4,212,complete
2025-12-06,2025-12-13,53,4,212,complete
2025-12-13,2025-12-20,53,4,212,complete
2025-12-20,2025-12-27,53,4,212,complete
2025-12-27,2026-01-03,53,4,212,complete
2026-01-03,2026-01-10,53,4,212,complete
2026-01-10,2026-01-17,53,4,212,complete
2026-01-17,2026-01-24,53,4,212,complete
2026-01-24,2026-01-31,53,4,212,complete
2026-01-31,2026-02-07,53,4,212,complete
2026-02-07,2026-02-14,53,4,212,complete
2026-02-14,2026-02-21,53,4,212,complete
2026-02-21,2026-02-28,53,4,212,complete
2026-02-28,2026-03-07,53,4,212,complete
2026-03-07,2026-03-14,53,4,212,complete
2026-03-14,2026-03-21,53,4,212,complete
2026-03-21,2026-03-28,53,4,212,complete
2026-03-28,2026-04-04,53,4,212,complete
2026-04-04,2026-04-11,53,4,212,complete
2026-04-11,2026-04-18,53,4,212,complete
2026-04-18,2026-04-25,53,4,212,complete
2026-04-25,2026-05-02,53,4,212,complete
