date,location_name,total_hosp,location
2024-10-05,Alabama,1,01
2024-10-12,Alabama,5,01
2024-10-19,Alabama,13,01
2024-10-26,Alabama,19,01
2024-11-02,Alabama,13,01
2024-11-09,Alabama,32,01
2024-11-16,Alabama,44,01
2024-11-23,Alabama,50,01
2024-11-30,Alabama,65,01
2024-12-07,Alabama,102,01
2024-12-14,Alabama,193,01
2024-12-21,Alabama,432,01
2024-12-28,Alabama,661,01
2025-01-04,Alabama,684,01
2025-01-11,Alabama,473,01
2025-01-18,Alabama,488,01
2025-01-25,Alabama,626,01
2025-02-01,Alabama,734,01
2025-02-08,Alabama,660,01
2025-02-15,Alabama,415,01
2025-02-22,Alabama,286,01
2025-03-01,Alabama,329,01
2025-03-08,Alabama,314,01
2025-03-15,Alabama,272,01
2025-03-22,Alabama,192,01
2025-03-29,Alabama,169,01
2025-04-05,Alabama,85,01
2025-04-12,Alabama,53.99999999999999,01
2025-04-19,Alabama,49,01
2025-04-26,Alabama,35,01
2025-05-03,Alabama,27,01
2025-05-10,Alabama,33,01
2025-05-17,Alabama,37,01
2025-05-24,Alabama,28,01
2025-05-31,Alabama,11,01
2025-06-07,Alabama,14,01
2025-06-14,Alabama,18,01
2025-06-21,Alabama,22,01
2025-06-28,Alabama,27,01
2025-07-05,Alabama,15,01
2025-07-12,Alabama,11,01
2025-07-19,Alabama,13,01
2025-07-26,Alabama,16,01
2025-08-02,Alabama,19,01
2025-08-09,Alabama,17,01
2025-08-16,Alabama,27,01
2025-08-23,Alabama,24,01
2025-08-30,Alabama,29,01
2025-09-06,Alabama,23,01
2025-09-13,Alabama,30.999999999999996,01
2025-09-20,Alabama,15,01
2025-09-27,Alabama,18,01
2025-10-04,Alabama,21,01
2025-10-11,Alabama,14,01
2025-10-18,Alabama,12,01
2025-10-25,Alabama,11,01
2025-11-01,Alabama,15,01
2025-11-08,Alabama,18,01
2025-11-15,Alabama,31,01
2025-11-22,Alabama,37,01
2025-11-29,Alabama,46,01
2025-12-06,Alabama,67,01
2025-12-13,Alabama,104,01
2025-12-20,Alabama,275,01
2025-12-27,Alabama,498,01
2026-01-03,Alabama,501,01
2026-01-10,Alabama,316,01
2026-01-17,Alabama,206,01
2026-01-24,Alabama,250,01
2026-01-31,Alabama,262,01
2026-02-07,Alabama,355,01
2026-02-14,Alabama,437,01
2026-02-21,Alabama,333,01
2026-02-28,Alabama,180,01
2026-03-07,Alabama,145,01
2026-03-14,Alabama,105,01
2026-03-21,Alabama,58,01
2026-03-28,Alabama,45,01
2026-04-04,Alabama,30,01
2026-04-11,Alabama,33,01
2026-04-18,Alabama,26,01
2026-04-25,Alabama,26,01
2024-10-05,Alaska,3,02
2024-10-12,Alaska,3,02
2024-10-19,Alaska,3,02
2024-10-26,Alaska,7,02
2024-11-02,Alaska,8,02
2024-11-09,Alaska,5.999999999999999,02
2024-11-16,Alaska,9,02
2024-11-23,Alaska,7,02
2024-11-30,Alaska,10,02
2024-12-07,Alaska,18,02
2024-12-14,Alaska,27,02
2024-12-21,Alaska,22,02
2024-12-28,Alaska,35,02
2025-01-04,Alaska,64,02
2025-01-11,Alaska,45,02
2025-01-18,Alaska,33,02
2025-01-25,Alaska,29,02
2025-02-01,Alaska,30,02
2025-02-08,Alaska,26,02
2025-02-15,Alaska,53,02
2025-02-22,Alaska,52,02
2025-03-01,Alaska,57,02
2025-03-08,Alaska,62,02
2025-03-15,Alaska,30.999999999999993,02
2025-03-22,Alaska,26,02
2025-03-29,Alaska,32,02
2025-04-05,Alaska,17,02
2025-04-12,Alaska,15.999999999999998,02
2025-04-19,Alaska,12,02
2025-04-26,Alaska,9,02
2025-05-03,Alaska,9,02
2025-05-10,Alaska,5,02
2025-05-17,Alaska,6,02
2025-05-24,Alaska,10,02
2025-05-31,Alaska,8,02
2025-06-07,Alaska,11,02
2025-06-14,Alaska,11,02
2025-06-21,Alaska,17,02
2025-06-28,Alaska,5,02
2025-07-05,Alaska,3.9999999999999982,02
2025-07-12,Alaska,2,02
2025-07-19,Alaska,6,02
2025-07-26,Alaska,4,02
2025-08-02,Alaska,2,02
2025-08-09,Alaska,2,02
2025-08-16,Alaska,4,02
2025-08-23,Alaska,2,02
2025-08-30,Alaska,1.9999999999999996,02
2025-09-06,Alaska,3,02
2025-09-13,Alaska,12,02
2025-09-20,Alaska,1,02
2025-09-27,Alaska,1.0000000000000007,02
2025-10-04,Alaska,2,02
2025-10-11,Alaska,1.1102230246251565e-16,02
2025-10-18,Alaska,0,02
2025-10-25,Alaska,1,02
2025-11-01,Alaska,0,02
2025-11-08,Alaska,2.9999999999999996,02
2025-11-15,Alaska,0,02
2025-11-22,Alaska,3,02
2025-11-29,Alaska,8,02
2025-12-06,Alaska,13,02
2025-12-13,Alaska,13,02
2025-12-20,Alaska,45,02
2025-12-27,Alaska,86,02
2026-01-03,Alaska,75,02
2026-01-10,Alaska,46,02
2026-01-17,Alaska,38,02
2026-01-24,Alaska,26,02
2026-01-31,Alaska,28,02
2026-02-07,Alaska,16,02
2026-02-14,Alaska,15,02
2026-02-21,Alaska,8,02
2026-02-28,Alaska,5,02
2026-03-07,Alaska,16,02
2026-03-14,Alaska,13,02
2026-03-21,Alaska,10,02
2026-03-28,Alaska,9,02
2026-04-04,Alaska,7,02
2026-04-11,Alaska,10,02
2026-04-18,Alaska,3,02
2026-04-25,Alaska,5,02
2024-10-05,Arizona,81,04
2024-10-12,Arizona,9,04
2024-10-19,Arizona,29,04
2024-10-26,Arizona,375,04
2024-11-02,Arizona,141,04
2024-11-09,Arizona,272,04
2024-11-16,Arizona,356,04
2024-11-23,Arizona,488,04
2024-11-30,Arizona,558,04
2024-12-07,Arizona,882,04
2024-12-14,Arizona,1023,04
2024-12-21,Arizona,1534,04
2024-12-28,Arizona,2340,04
2025-01-04,Arizona,2846,04
2025-01-11,Arizona,1483,04
2025-01-18,Arizona,1077,04
2025-01-25,Arizona,999,04
2025-02-01,Arizona,836,04
2025-02-08,Arizona,836,04
2025-02-15,Arizona,711,04
2025-02-22,Arizona,647,04
2025-03-01,Arizona,657,04
2025-03-08,Arizona,499,04
2025-03-15,Arizona,393,04
2025-03-22,Arizona,346,04
2025-03-29,Arizona,238,04
2025-04-05,Arizona,111,04
2025-04-12,Arizona,93,04
2025-04-19,Arizona,88,04
2025-04-26,Arizona,77,04
2025-05-03,Arizona,80,04
2025-05-10,Arizona,53.00000000000001,04
2025-05-17,Arizona,69,04
2025-05-24,Arizona,38.00000000000001,04
2025-05-31,Arizona,55,04
2025-06-07,Arizona,32.00000000000001,04
2025-06-14,Arizona,35,04
2025-06-21,Arizona,18,04
2025-06-28,Arizona,11,04
2025-07-05,Arizona,24,04
2025-07-12,Arizona,15,04
2025-07-19,Arizona,10,04
2025-07-26,Arizona,6,04
2025-08-02,Arizona,5,04
2025-08-09,Arizona,11,04
2025-08-16,Arizona,17.999999999999996,04
2025-08-23,Arizona,6,04
2025-08-30,Arizona,26.999999999999996,04
2025-09-06,Arizona,11,04
2025-09-13,Arizona,14.000000000000002,04
2025-09-20,Arizona,16,04
2025-09-27,Arizona,13.000000000000002,04
2025-10-04,Arizona,19,04
2025-10-11,Arizona,9.000000000000002,04
2025-10-18,Arizona,12,04
2025-10-25,Arizona,15,04
2025-11-01,Arizona,11,04
2025-11-08,Arizona,17,04
2025-11-15,Arizona,18,04
2025-11-22,Arizona,47.00000000000001,04
2025-11-29,Arizona,47,04
2025-12-06,Arizona,41,04
2025-12-13,Arizona,80,04
2025-12-20,Arizona,132,04
2025-12-27,Arizona,316,04
2026-01-03,Arizona,362,04
2026-01-10,Arizona,223,04
2026-01-17,Arizona,145,04
2026-01-24,Arizona,198,04
2026-01-31,Arizona,263,04
2026-02-07,Arizona,346,04
2026-02-14,Arizona,415,04
2026-02-21,Arizona,354,04
2026-02-28,Arizona,284,04
2026-03-07,Arizona,237,04
2026-03-14,Arizona,196,04
2026-03-21,Arizona,136,04
2026-03-28,Arizona,125,04
2026-04-04,Arizona,74,04
2026-04-11,Arizona,67,04
2026-04-18,Arizona,61,04
2026-04-25,Arizona,67,04
2024-10-05,Arkansas,7,05
2024-10-12,Arkansas,1,05
2024-10-19,Arkansas,5,05
2024-10-26,Arkansas,3,05
2024-11-02,Arkansas,6,05
2024-11-09,Arkansas,11,05
2024-11-16,Arkansas,13,05
2024-11-23,Arkansas,7.999999999999999,05
2024-11-30,Arkansas,12,05
2024-12-07,Arkansas,32,05
2024-12-14,Arkansas,42,05
2024-12-21,Arkansas,59,05
2024-12-28,Arkansas,127,05
2025-01-04,Arkansas,212,05
2025-01-11,Arkansas,158,05
2025-01-18,Arkansas,223,05
2025-01-25,Arkansas,388,05
2025-02-01,Arkansas,551,05
2025-02-08,Arkansas,752,05
2025-02-15,Arkansas,543,05
2025-02-22,Arkansas,392,05
2025-03-01,Arkansas,363,05
2025-03-08,Arkansas,325,05
2025-03-15,Arkansas,229,05
2025-03-22,Arkansas,164,05
2025-03-29,Arkansas,111,05
2025-04-05,Arkansas,71,05
2025-04-12,Arkansas,32,05
2025-04-19,Arkansas,29,05
2025-04-26,Arkansas,24,05
2025-05-03,Arkansas,21,05
2025-05-10,Arkansas,13,05
2025-05-17,Arkansas,13,05
2025-05-24,Arkansas,14,05
2025-05-31,Arkansas,14,05
2025-06-07,Arkansas,14,05
