date,location_name,total_hosp
2024-10-05,Texas,3
2024-10-12,Texas,159
2024-10-19,Texas,93
2024-10-26,Texas,127
2024-11-02,Texas,103
2024-11-09,Texas,185
2024-11-16,Texas,227
2024-11-23,Texas,276
2024-11-30,Texas,405
2024-12-07,Texas,530
2024-12-14,Texas,705
2024-12-21,Texas,1181
2024-12-28,Texas,2086
2025-01-04,Texas,2527
2025-01-11,Texas,2054
2025-01-18,Texas,2445
2025-01-25,Texas,3319
2025-02-01,Texas,4729
2025-02-08,Texas,4261
2025-02-15,Texas,2511
2025-02-22,Texas,1774
2025-03-01,Texas,1553
2025-03-08,Texas,1209
2025-03-15,Texas,909
2025-03-22,Texas,611
2025-03-29,Texas,539
2025-04-05,Texas,371
2025-04-12,Texas,284
2025-04-19,Texas,271
2025-04-26,Texas,230
2025-05-03,Texas,193
2025-05-10,Texas,176
2025-05-17,Texas,203
2025-05-24,Texas,143
2025-05-31,Texas,165
2025-06-07,Texas,147
2025-06-14,Texas,135
2025-06-21,Texas,121
2025-06-28,Texas,105
2025-07-05,Texas,80
2025-07-12,Texas,89
2025-07-19,Texas,82
2025-07-26,Texas,90
2025-08-02,Texas,85
2025-08-09,Texas,80
2025-08-16,Texas,91
2025-08-23,Texas,92
2025-08-30,Texas,105
2025-09-06,Texas,124
2025-09-13,Texas,117
2025-09-20,Texas,106
2025-09-27,Texas,134
2025-10-04,Texas,101
2025-10-11,Texas,131
2025-10-18,Texas,135
2025-10-25,Texas,139
2025-11-01,Texas,169
2025-11-08,Texas,232
2025-11-15,Texas,295
2025-11-22,Texas,442
2025-11-29,Texas,591
2025-12-06,Texas,690
2025-12-13,Texas,959
2025-12-20,Texas,1677
2025-12-27,Texas,2834
2026-01-03,Texas,2385
2026-01-10,Texas,1829
2026-01-17,Texas,1208
2026-01-24,Texas,1375
2026-01-31,Texas,1315
2026-02-07,Texas,1388
2026-02-14,Texas,1345
2026-02-21,Texas,1037
2026-02-28,Texas,779
2026-03-07,Texas,721
2026-03-14,Texas,431
2026-03-21,Texas,410
2026-03-28,Texas,242
2026-04-04,Texas,175
2026-04-11,Texas,124.99999999999999
2026-04-18,Texas,115
2026-04-25,Texas,119
