date,wastewaterscan_flu_a_log10_pmmov,site_q25_log10_pmmov,site_q75_log10_pmmov,site_count,sample_count,site_detection_fraction,available_date,source,source_signal,geography,vintage_status,minimum_sites_required,log10_pseudocount,wastewaterscan_flu_a_log10_pmmov_lag1,wastewaterscan_flu_a_log10_pmmov_lag2,wastewaterscan_flu_a_log10_pmmov_lag4
2024-10-05,-5.0,-5.0,-4.849485002168009,148,453,0.1517696267696267,2024-10-19,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-5.0,-5.0,-5.0
2024-10-12,-5.0,-5.0,-5.0,147,437,0.1496598639455782,2024-10-26,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-5.0,-5.0,-5.0
2024-10-19,-5.0,-5.0,-4.887113751626007,150,459,0.205063492063492,2024-11-02,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-5.0,-5.0,-5.0
2024-10-26,-5.0,-5.0,-5.0,150,471,0.205031746031746,2024-11-09,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-5.0,-5.0,-5.0
2024-11-02,-5.0,-5.0,-4.698970004336019,149,455,0.3505912432086928,2024-11-16,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-5.0,-5.0,-5.0
2024-11-09,-5.0,-5.0,-4.698970004336019,150,459,0.3613492063492063,2024-11-23,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-5.0,-5.0,-5.0
2024-11-16,-4.849485002168009,-5.0,-4.594187677400525,147,431,0.4407191448007774,2024-11-30,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-5.0,-5.0,-5.0
2024-11-23,-4.698970004336019,-5.0,-4.522878745280337,149,464,0.4874560562480025,2024-12-07,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-4.849485002168009,-5.0,-5.0
2024-11-30,-4.698970004336019,-5.0,-4.301029995663981,145,386,0.6148604269293924,2024-12-14,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-4.698970004336019,-4.849485002168009,-5.0
2024-12-07,-4.522878745280337,-4.698970004336019,-4.27267558140671,148,449,0.7456563706563707,2024-12-21,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-4.698970004336019,-4.698970004336019,-5.0
2024-12-14,-4.301029995663981,-4.698970004336019,-4.096910013008056,151,463,0.8183538315988647,2024-12-28,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-4.522878745280337,-4.698970004336019,-4.849485002168009
2024-12-21,-4.0,-4.301029995663981,-3.72527197467756,150,464,0.9333333333333332,2025-01-04,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-4.301029995663981,-4.522878745280337,-4.698970004336019
2024-12-28,-3.769551078621726,-4.011439372640169,-3.533921187895867,140,386,0.9787414965986394,2025-01-11,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-4.0,-4.301029995663981,-4.698970004336019
2025-01-04,-3.616447767898898,-3.964082130555633,-3.3590433787404628,146,414,0.9920091324200914,2025-01-18,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.769551078621726,-4.0,-4.522878745280337
2025-01-11,-3.657577319177794,-3.887345359137069,-3.4685210829577446,151,458,0.9900662251655628,2025-01-25,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.616447767898898,-3.769551078621726,-4.301029995663981
2025-01-18,-3.638272163982407,-3.9709477185491497,-3.4784385243935105,151,464,0.9913276568905708,2025-02-01,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.657577319177794,-3.616447767898898,-4.0
2025-01-25,-3.552841968657781,-3.823908740944319,-3.283996656365201,149,436,0.9955257270693512,2025-02-08,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.638272163982407,-3.657577319177794,-3.769551078621726
2025-02-01,-3.408935392973501,-3.802112423743168,-3.1724348215502944,151,467,0.9968464206874804,2025-02-15,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.552841968657781,-3.638272163982407,-3.616447767898898
2025-02-08,-3.42021640338319,-3.744727494896694,-3.158026434624244,151,466,0.9977924944812362,2025-02-22,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.408935392973501,-3.552841968657781,-3.657577319177794
2025-02-15,-3.5856710077511345,-3.9208187539523753,-3.318758762624413,150,449,0.991111111111111,2025-03-01,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.42021640338319,-3.408935392973501,-3.638272163982407
2025-02-22,-3.7128570477669607,-4.0,-3.389897109628208,150,445,0.9822222222222224,2025-03-08,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.5856710077511345,-3.42021640338319,-3.552841968657781
2025-03-01,-3.823908740944319,-4.154901959985743,-3.5686362358410126,149,463,0.982102908277405,2025-03-15,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.7128570477669607,-3.5856710077511345,-3.408935392973501
2025-03-08,-3.958607314841775,-4.301029995663981,-3.7191808908194135,148,460,0.970881595881596,2025-03-22,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.823908740944319,-3.7128570477669607,-3.42021640338319
2025-03-15,-4.096910013008056,-4.3979400086720375,-3.823908740944319,149,454,0.9408756791307128,2025-03-29,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-3.958607314841775,-3.823908740944319,-3.5856710077511345
2025-03-22,-4.301029995663981,-4.522878745280337,-3.949160174619425,151,471,0.8919899085461999,2025-04-05,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-4.096910013008056,-3.958607314841775,-3.7128570477669607
2025-03-29,-4.3979400086720375,-4.698970004336019,-4.096910013008056,150,467,0.8325396825396826,2025-04-12,CDC NWSS / WastewaterSCAN,fluav PMMoV-normalized concentration,US robust equal-site weekly median,latency_constrained_current_revised_snapshot,10,1e-05,-4.301029995663981,-4.096910013008056,-3.823908740944319
