horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value,model_id
0,48,quantile,0.01,2024-11-23,wk inc flu hosp,2024-11-23,0.0,FluSight-baseline
0,48,quantile,0.025,2024-11-23,wk inc flu hosp,2024-11-23,0.0,FluSight-baseline
0,48,quantile,0.05,2024-11-23,wk inc flu hosp,2024-11-23,0.0,FluSight-baseline
0,48,quantile,0.1,2024-11-23,wk inc flu hosp,2024-11-23,42.0,FluSight-baseline
0,48,quantile,0.15,2024-11-23,wk inc flu hosp,2024-11-23,96.0,FluSight-baseline
0,48,quantile,0.2,2024-11-23,wk inc flu hosp,2024-11-23,126.0,FluSight-baseline
0,48,quantile,0.25,2024-11-23,wk inc flu hosp,2024-11-23,175.0,FluSight-baseline
0,48,quantile,0.3,2024-11-23,wk inc flu hosp,2024-11-23,188.0,FluSight-baseline
0,48,quantile,0.35,2024-11-23,wk inc flu hosp,2024-11-23,195.0,FluSight-baseline
0,48,quantile,0.4,2024-11-23,wk inc flu hosp,2024-11-23,202.0,FluSight-baseline
0,48,quantile,0.45,2024-11-23,wk inc flu hosp,2024-11-23,207.0,FluSight-baseline
0,48,quantile,0.5,2024-11-23,wk inc flu hosp,2024-11-23,213.0,FluSight-baseline
0,48,quantile,0.55,2024-11-23,wk inc flu hosp,2024-11-23,219.0,FluSight-baseline
0,48,quantile,0.6,2024-11-23,wk inc flu hosp,2024-11-23,224.0,FluSight-baseline
0,48,quantile,0.65,2024-11-23,wk inc flu hosp,2024-11-23,231.0,FluSight-baseline
0,48,quantile,0.7,2024-11-23,wk inc flu hosp,2024-11-23,238.0,FluSight-baseline
0,48,quantile,0.75,2024-11-23,wk inc flu hosp,2024-11-23,251.0,FluSight-baseline
0,48,quantile,0.8,2024-11-23,wk inc flu hosp,2024-11-23,300.0,FluSight-baseline
0,48,quantile,0.85,2024-11-23,wk inc flu hosp,2024-11-23,330.0,FluSight-baseline
0,48,quantile,0.9,2024-11-23,wk inc flu hosp,2024-11-23,384.0,FluSight-baseline
0,48,quantile,0.95,2024-11-23,wk inc flu hosp,2024-11-23,495.0,FluSight-baseline
0,48,quantile,0.975,2024-11-23,wk inc flu hosp,2024-11-23,594.0,FluSight-baseline
0,48,quantile,0.99,2024-11-23,wk inc flu hosp,2024-11-23,663.0,FluSight-baseline
1,48,quantile,0.01,2024-11-23,wk inc flu hosp,2024-11-30,0.0,FluSight-baseline
1,48,quantile,0.025,2024-11-23,wk inc flu hosp,2024-11-30,0.0,FluSight-baseline
1,48,quantile,0.05,2024-11-23,wk inc flu hosp,2024-11-30,0.0,FluSight-baseline
1,48,quantile,0.1,2024-11-23,wk inc flu hosp,2024-11-30,0.0,FluSight-baseline
1,48,quantile,0.15,2024-11-23,wk inc flu hosp,2024-11-30,25.0,FluSight-baseline
1,48,quantile,0.2,2024-11-23,wk inc flu hosp,2024-11-30,70.0,FluSight-baseline
1,48,quantile,0.25,2024-11-23,wk inc flu hosp,2024-11-30,105.0,FluSight-baseline
1,48,quantile,0.3,2024-11-23,wk inc flu hosp,2024-11-30,135.0,FluSight-baseline
1,48,quantile,0.35,2024-11-23,wk inc flu hosp,2024-11-30,165.0,FluSight-baseline
1,48,quantile,0.4,2024-11-23,wk inc flu hosp,2024-11-30,185.0,FluSight-baseline
1,48,quantile,0.45,2024-11-23,wk inc flu hosp,2024-11-30,200.0,FluSight-baseline
1,48,quantile,0.5,2024-11-23,wk inc flu hosp,2024-11-30,213.0,FluSight-baseline
1,48,quantile,0.55,2024-11-23,wk inc flu hosp,2024-11-30,226.0,FluSight-baseline
1,48,quantile,0.6,2024-11-23,wk inc flu hosp,2024-11-30,241.0,FluSight-baseline
1,48,quantile,0.65,2024-11-23,wk inc flu hosp,2024-11-30,263.0,FluSight-baseline
1,48,quantile,0.7,2024-11-23,wk inc flu hosp,2024-11-30,296.0,FluSight-baseline
1,48,quantile,0.75,2024-11-23,wk inc flu hosp,2024-11-30,326.0,FluSight-baseline
1,48,quantile,0.8,2024-11-23,wk inc flu hosp,2024-11-30,365.0,FluSight-baseline
1,48,quantile,0.85,2024-11-23,wk inc flu hosp,2024-11-30,416.0,FluSight-baseline
1,48,quantile,0.9,2024-11-23,wk inc flu hosp,2024-11-30,493.0,FluSight-baseline
1,48,quantile,0.95,2024-11-23,wk inc flu hosp,2024-11-30,606.0,FluSight-baseline
1,48,quantile,0.975,2024-11-23,wk inc flu hosp,2024-11-30,688.0,FluSight-baseline
1,48,quantile,0.99,2024-11-23,wk inc flu hosp,2024-11-30,799.0,FluSight-baseline
2,48,quantile,0.01,2024-11-23,wk inc flu hosp,2024-12-07,0.0,FluSight-baseline
2,48,quantile,0.025,2024-11-23,wk inc flu hosp,2024-12-07,0.0,FluSight-baseline
2,48,quantile,0.05,2024-11-23,wk inc flu hosp,2024-12-07,0.0,FluSight-baseline
2,48,quantile,0.1,2024-11-23,wk inc flu hosp,2024-12-07,0.0,FluSight-baseline
2,48,quantile,0.15,2024-11-23,wk inc flu hosp,2024-12-07,0.0,FluSight-baseline
2,48,quantile,0.2,2024-11-23,wk inc flu hosp,2024-12-07,21.0,FluSight-baseline
2,48,quantile,0.25,2024-11-23,wk inc flu hosp,2024-12-07,65.0,FluSight-baseline
2,48,quantile,0.3,2024-11-23,wk inc flu hosp,2024-12-07,102.0,FluSight-baseline
2,48,quantile,0.35,2024-11-23,wk inc flu hosp,2024-12-07,134.0,FluSight-baseline
2,48,quantile,0.4,2024-11-23,wk inc flu hosp,2024-12-07,165.0,FluSight-baseline
2,48,quantile,0.45,2024-11-23,wk inc flu hosp,2024-12-07,191.0,FluSight-baseline
2,48,quantile,0.5,2024-11-23,wk inc flu hosp,2024-12-07,213.0,FluSight-baseline
2,48,quantile,0.55,2024-11-23,wk inc flu hosp,2024-12-07,236.0,FluSight-baseline
2,48,quantile,0.6,2024-11-23,wk inc flu hosp,2024-12-07,263.0,FluSight-baseline
2,48,quantile,0.65,2024-11-23,wk inc flu hosp,2024-12-07,295.0,FluSight-baseline
2,48,quantile,0.7,2024-11-23,wk inc flu hosp,2024-12-07,329.0,FluSight-baseline
2,48,quantile,0.75,2024-11-23,wk inc flu hosp,2024-12-07,369.0,FluSight-baseline
2,48,quantile,0.8,2024-11-23,wk inc flu hosp,2024-12-07,418.0,FluSight-baseline
2,48,quantile,0.85,2024-11-23,wk inc flu hosp,2024-12-07,481.0,FluSight-baseline
2,48,quantile,0.9,2024-11-23,wk inc flu hosp,2024-12-07,565.0,FluSight-baseline
2,48,quantile,0.95,2024-11-23,wk inc flu hosp,2024-12-07,676.0,FluSight-baseline
2,48,quantile,0.975,2024-11-23,wk inc flu hosp,2024-12-07,778.0,FluSight-baseline
2,48,quantile,0.99,2024-11-23,wk inc flu hosp,2024-12-07,903.0,FluSight-baseline
3,48,quantile,0.01,2024-11-23,wk inc flu hosp,2024-12-14,0.0,FluSight-baseline
3,48,quantile,0.025,2024-11-23,wk inc flu hosp,2024-12-14,0.0,FluSight-baseline
3,48,quantile,0.05,2024-11-23,wk inc flu hosp,2024-12-14,0.0,FluSight-baseline
3,48,quantile,0.1,2024-11-23,wk inc flu hosp,2024-12-14,0.0,FluSight-baseline
3,48,quantile,0.15,2024-11-23,wk inc flu hosp,2024-12-14,0.0,FluSight-baseline
3,48,quantile,0.2,2024-11-23,wk inc flu hosp,2024-12-14,0.0,FluSight-baseline
3,48,quantile,0.25,2024-11-23,wk inc flu hosp,2024-12-14,31.0,FluSight-baseline
3,48,quantile,0.3,2024-11-23,wk inc flu hosp,2024-12-14,75.0,FluSight-baseline
3,48,quantile,0.35,2024-11-23,wk inc flu hosp,2024-12-14,114.0,FluSight-baseline
3,48,quantile,0.4,2024-11-23,wk inc flu hosp,2024-12-14,150.0,FluSight-baseline
3,48,quantile,0.45,2024-11-23,wk inc flu hosp,2024-12-14,183.0,FluSight-baseline
3,48,quantile,0.5,2024-11-23,wk inc flu hosp,2024-12-14,213.0,FluSight-baseline
3,48,quantile,0.55,2024-11-23,wk inc flu hosp,2024-12-14,244.0,FluSight-baseline
3,48,quantile,0.6,2024-11-23,wk inc flu hosp,2024-12-14,279.0,FluSight-baseline
3,48,quantile,0.65,2024-11-23,wk inc flu hosp,2024-12-14,315.0,FluSight-baseline
