anchor_date,reference_date,has_exact_vintage,vintage_path,policy
2024-10-05,2024-10-12,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-10-05.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-10-12,2024-10-19,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-10-12.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-10-19,2024-10-26,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-10-19.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-10-26,2024-11-02,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-10-26.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-11-02,2024-11-09,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-11-02.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-11-09,2024-11-16,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-11-09.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-11-16,2024-11-23,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-11-16.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-11-23,2024-11-30,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-11-23.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-11-30,2024-12-07,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-11-30.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-12-07,2024-12-14,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-12-07.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-12-14,2024-12-21,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-12-14.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-12-21,2024-12-28,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-12-21.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2024-12-28,2025-01-04,True,data/imputed_vintages/imputed_and_stitched_hosp_2024-12-28.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-01-04,2025-01-11,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-01-04.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-01-11,2025-01-18,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-01-11.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-01-25,2025-02-01,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-01-25.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-02-01,2025-02-08,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-02-01.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-02-08,2025-02-15,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-02-08.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-02-15,2025-02-22,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-02-15.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-02-22,2025-03-01,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-02-22.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-03-01,2025-03-08,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-03-01.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-03-08,2025-03-15,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-03-08.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-03-15,2025-03-22,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-03-15.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-03-22,2025-03-29,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-03-22.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-03-29,2025-04-05,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-03-29.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-04-05,2025-04-12,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-04-05.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-04-12,2025-04-19,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-04-12.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-04-19,2025-04-26,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-04-19.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-04-26,2025-05-03,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-04-26.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-05-10,2025-05-17,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-05-10.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-05-17,2025-05-24,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-05-17.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-05-24,2025-05-31,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-05-24.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-09-13,2025-09-20,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-09-13.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-09-20,2025-09-27,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-09-20.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-11-15,2025-11-22,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-11-15.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-11-22,2025-11-29,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-11-22.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-11-29,2025-12-06,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-11-29.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-12-06,2025-12-13,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-12-06.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-12-13,2025-12-20,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-12-13.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-12-20,2025-12-27,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-12-20.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
2025-12-27,2026-01-03,True,data/imputed_vintages/imputed_and_stitched_hosp_2025-12-27.csv,current data_file before training_cutoff; exact anchor vintage from training_cutoff through anchor
